symbol,date,price
0-14,2007,12
0-14,2008,11
0-14,2009,3
0-14,2010,13
0-14,2011,16
0-14,2012,16
0-14,2013,22
0-14,2014,21
0-14,2015,14
0-14,2016,16
15-19,2007,116
15-19,2008,98
15-19,2009,105
15-19,2010,117
15-19,2011,117
15-19,2012,131
15-19,2013,154
15-19,2014,132
15-19,2015,145
15-19,2016,137
20-24,2007,184
20-24,2008,190
20-24,2009,171
20-24,2010,190
20-24,2011,218
20-24,2012,195
20-24,2013,208
20-24,2014,235
20-24,2015,246
20-24,2016,266
25-29,2007,201
25-29,2008,202
25-29,2009,217
25-29,2010,195
25-29,2011,218
25-29,2012,213
25-29,2013,212
25-29,2014,229
25-29,2015,267
25-29,2016,252
30-34,2007,230
30-34,2008,242
30-34,2009,222
30-34,2010,220
30-34,2011,214
30-34,2012,236
30-34,2013,212
30-34,2014,294
30-34,2015,275
30-34,2016,321
35-39,2007,261
35-39,2008,270
35-39,2009,258
35-39,2010,288
35-39,2011,231
35-39,2012,267
35-39,2013,231
35-39,2014,265
35-39,2015,282
35-39,2016,259
40-44,2007,226
40-44,2008,264
40-44,2009,244
40-44,2010,275
40-44,2011,250
40-44,2012,280
40-44,2013,293
40-44,2014,321
40-44,2015,312
40-44,2016,290
45-49,2007,217
45-49,2008,254
45-49,2009,245
45-49,2010,288
45-49,2011,254
45-49,2012,257
45-49,2013,249
45-49,2014,257
45-49,2015,326
45-49,2016,248
50-54,2007,202
50-54,2008,208
50-54,2009,229
50-54,2010,219
50-54,2011,199
50-54,2012,256
50-54,2013,256
50-54,2014,300
50-54,2015,309
50-54,2016,263
55-59,2007,153
55-59,2008,169
55-59,2009,167
55-59,2010,181
55-59,2011,184
55-59,2012,187
55-59,2013,192
55-59,2014,237
55-59,2015,218
55-59,2016,210
60-64,2007,131
60-64,2008,109
60-64,2009,149
60-64,2010,145
60-64,2011,127
60-64,2012,145
60-64,2013,163
60-64,2014,171
60-64,2015,151
60-64,2016,170
65-69,2007,80
65-69,2008,98
65-69,2009,86
65-69,2010,77
65-69,2011,99
65-69,2012,99
65-69,2013,117
65-69,2014,127
65-69,2015,134
65-69,2016,119
70-74,2007,59
70-74,2008,78
70-74,2009,63
70-74,2010,74
70-74,2011,74
70-74,2012,88
70-74,2013,91
70-74,2014,93
70-74,2015,106
70-74,2016,86
75-79,2007,67
75-79,2008,62
75-79,2009,76
75-79,2010,84
75-79,2011,61
75-79,2012,61
75-79,2013,73
75-79,2014,71
75-79,2015,79
75-79,2016,91
80-84,2007,46
80-84,2008,44
80-84,2009,49
80-84,2010,68
80-84,2011,60
80-84,2012,82
80-84,2013,56
80-84,2014,56
80-84,2015,69
80-84,2016,58
85 and over,2007,44
85 and over,2008,42
85 and over,2009,53
85 and over,2010,46
85 and over,2011,70
85 and over,2012,67
85 and over,2013,79
85 and over,2014,82
85 and over,2015,85
85 and over,2016,80
